frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt
167, 0, 9.917, 0.98, 1, 22.210, 15.005, -137.7, -15.8, 649.5, 15.177, -24.158, 8.856
168, 0, 10.081, 0.98, 1, 23.280, 13.194, -137.3, -33.1, 637.2, 11.845, -24.435, 3.724
169, 0, 10.214, 0.98, 1, 21.655, 8.359, -141.9, -62.0, 630.3, 4.515, -21.959, -1.574
170, 0, 10.356, 0.98, 1, 21.370, 5.505, -144.7, -69.6, 634.7, 0.923, -21.368, -4.113
171, 0, 10.406, 0.98, 1, 20.667, 5.770, -148.1, -72.3, 637.9, 1.337, -20.129, -4.744
172, 0, 10.450, 0.98, 1, 19.049, 4.627, -152.1, -74.5, 647.1, -0.033, -18.304, -3.354
173, 0, 10.504, 0.98, 1, 19.009, 4.688, -152.8, -74.8, 646.9, -0.103, -18.503, -2.530
174, 0, 10.553, 0.98, 1, 18.619, 4.516, -154.0, -75.3, 646.8, -0.233, -18.083, -2.282
175, 0, 10.601, 0.98, 1, 18.680, 4.416, -154.2, -74.9, 644.2, -0.207, -18.355, -2.084
176, 0, 10.650, 0.98, 1, 18.683, 4.132, -154.7, -75.0, 643.6, -0.554, -18.440, -1.874
177, 0, 10.692, 0.98, 1, 18.490, 4.486, -155.6, -75.1, 643.4, -0.106, -18.185, -1.813
178, 0, 10.738, 0.98, 1, 18.484, 4.161, -155.8, -75.0, 642.7, -0.223, -18.103, -1.720
179, 0, 10.779, 0.98, 1, 18.543, 4.113, -155.7, -74.8, 640.8, -0.172, -18.218, -1.787
180, 0, 10.828, 0.98, 1, 18.159, 4.010, -156.8, -75.0, 642.1, -0.147, -17.695, -1.833
181, 0, 10.872, 0.98, 1, 18.360, 4.286, -156.7, -74.7, 640.3, 0.026, -17.971, -1.982
182, 0, 10.917, 0.98, 1, 18.275, 4.167, -157.2, -74.5, 640.5, 0.058, -17.876, -2.238
183, 0, 10.965, 0.98, 1, 18.109, 4.243, -157.7, -74.4, 640.6, -0.032, -17.499, -2.141
184, 0, 11.007, 0.98, 1, 18.046, 4.175, -159.1, -73.9, 641.1, 0.146, -17.339, -2.042
185, 0, 11.056, 0.98, 1, 17.936, 4.460, -160.1, -73.7, 641.9, 0.078, -17.221, -2.155
186, 0, 11.101, 0.98, 1, 17.558, 3.899, -161.9, -72.8, 640.8, 0.036, -16.563, -2.348
187, 0, 11.150, 0.98, 1, 17.343, 4.374, -163.6, -72.6, 641.2, 0.081, -16.167, -2.483
188, 0, 11.191, 0.98, 1, 16.680, 3.904, -166.7, -72.8, 642.9, -0.351, -15.117, -2.506
189, 0, 11.240, 0.98, 1, 16.379, 3.931, -168.2, -73.2, 643.5, -0.321, -14.718, -2.432
190, 0, 11.287, 0.98, 1, 16.112, 3.517, -168.9, -73.2, 641.4, -0.633, -14.457, -2.422
191, 0, 11.327, 0.98, 1, 15.755, 3.604, -170.2, -73.2, 640.4, -0.505, -13.823, -2.527
192, 0, 11.379, 0.93, 1, 15.738, 4.071, -170.6, -73.1, 640.5, -0.343, -13.799, -2.566
193, 0, 11.428, 0.98, 1, 15.921, 4.231, -170.1, -72.2, 637.7, -0.121, -14.137, -2.286
194, 0, 11.477, 0.98, 1, 16.529, 7.171, -170.8, -68.6, 644.5, 2.848, -15.068, -1.490
195, 0, 11.524, 0.98, 1, 17.141, 9.426, -170.8, -64.4, 650.6, 4.645, -15.773, -1.015
196, 0, 11.566, 0.98, 1, 18.928, 14.390, -166.4, -54.6, 652.5, 10.877, -17.900, 2.092
197, 0, 11.616, 0.98, 1, 20.271, 16.694, -165.2, -47.9, 658.4, 13.370, -19.572, 4.520
198, 0, 11.659, 0.98, 1, 21.447, 18.994, -162.1, -40.4, 655.7, 15.891, -20.865, 6.696
199, 0, 11.705, 0.93, 1, 24.610, 13.794, -156.8, -21.5, 667.5, 12.258, -26.356, 8.096
200, 0, 11.847, 0.88, 1, 24.713, 17.206, -154.3, -14.3, 674.8, 17.318, -26.227, 11.238
201, 0, 11.895, 0.73, 0, 12.924, 5.432, -149.5, -13.6, 663.2, 12.497, -26.000, 11.466
202, 0, 12.202, 0.28, 0, 20.514, 5.037, -136.0, -10.1, 634.1, 0.911, -21.723, 10.193
203, 0, 12.268, 0.03, 0, 11.654, 4.439, -129.8, -6.2, 635.9, -9.413, -22.956, 8.558
204, 0, 12.610, 0.03, 0, 23.298, -5.039, -127.4, -2.9, 653.1, -11.627, -25.715, 11.029
205, 0, 12.674, 0.77, 1, 18.488, 19.521, -130.2, 24.0, 734.4, 24.368, -19.058, 14.896
206, 0, 13.022, 0.88, 1, 22.100, 19.296, -133.0, 24.2, 750.8, 25.246, -23.504, 17.365
207, 0, 13.065, 0.88, 1, 23.325, 19.014, -134.2, 23.4, 759.4, 25.424, -25.037, 18.671
208, 0, 13.117, 0.88, 1, 23.650, 19.159, -134.7, 23.1, 762.3, 25.524, -25.427, 18.744
209, 0, 13.166, 0.88, 1, 23.632, 18.967, -135.1, 22.9, 764.5, 25.487, -25.357, 18.770
210, 0, 13.216, 0.88, 1, 23.506, 18.618, -135.2, 22.5, 764.8, 25.091, -25.026, 18.395
211, 0, 13.261, 0.88, 1, 23.698, 18.547, -134.7, 22.0, 763.5, 25.154, -25.330, 18.376
212, 0, 13.312, 0.88, 1, 23.662, 18.869, -134.8, 21.6, 765.0, 25.293, -25.347, 18.317
213, 0, 13.359, 0.88, 1, 23.804, 18.802, -135.2, 21.2, 762.3, 25.045, -25.715, 18.615
214, 0, 13.415, 0.88, 1, 23.837, 19.304, -135.4, 21.3, 758.9, 25.482, -25.920, 19.071
215, 0, 13.462, 0.82, 1, 23.710, 19.077, -135.8, 21.0, 756.8, 25.085, -25.582, 18.374
216, 0, 13.513, 0.82, 1, 23.699, 18.623, -136.7, 21.0, 757.4, 24.464, -25.560, 18.049
217, 0, 13.565, 0.82, 1, 23.646, 18.853, -137.0, 21.2, 757.6, 25.003, -25.380, 18.323
218, 0, 13.614, 0.82, 1, 23.261, 18.869, -138.0, 22.4, 760.1, 25.011, -25.039, 18.515
219, 0, 13.663, 0.82, 1, 23.204, 18.609, -138.6, 22.9, 759.4, 24.799, -25.227, 18.763
220, 0, 13.716, 0.82, 1, 23.179, 19.102, -139.4, 23.4, 760.1, 25.378, -25.206, 19.121
221, 0, 13.769, 0.82, 1, 23.413, 18.463, -141.1, 23.7, 760.7, 24.652, -25.539, 18.343
222, 0, 13.820, 0.82, 1, 23.459, 18.195, -142.8, 24.0, 757.9, 24.480, -25.505, 17.911
223, 0, 13.869, 0.82, 1, 23.784, 18.023, -143.8, 23.9, 755.9, 24.394, -25.958, 17.760
224, 0, 13.920, 0.82, 1, 24.061, 19.162, -145.9, 23.8, 754.4, 25.262, -26.344, 17.426
225, 0, 13.966, 0.82, 1, 24.010, 18.432, -147.5, 23.6, 755.2, 24.536, -26.021, 16.907
226, 0, 14.015, 0.82, 1, 23.999, 18.163, -148.4, 23.2, 752.5, 24.193, -25.838, 16.583
227, 0, 14.065, 0.82, 1, 23.838, 18.806, -151.2, 22.4, 752.9, 24.542, -25.661, 16.029
228, 0, 14.116, 0.82, 1, 24.199, 18.771, -152.1, 22.0, 750.1, 24.450, -26.031, 15.901
229, 0, 14.163, 0.88, 1, 24.209, 19.203, -154.0, 21.7, 748.2, 24.706, -25.834, 15.607
230, 0, 14.213, 0.82, 1, 24.524, 18.427, -154.6, 21.7, 746.4, 23.741, -26.092, 14.975
231, 0, 14.264, 0.82, 1, 24.330, 18.795, -156.4, 21.3, 744.8, 23.798, -25.852, 14.729
232, 0, 14.312, 0.88, 1, 24.166, 18.613, -159.3, 18.3, 742.5, 22.554, -25.880, 13.553
233, 0, 14.362, 0.88, 1, 24.117, 17.058, -158.9, 14.5, 729.2, 19.610, -25.869, 11.766
234, 0, 14.414, 0.88, 1, 23.639, 14.817, -158.3, 9.3, 715.8, 16.042, -25.259, 9.495
235, 0, 14.466, 0.98, 1, 19.234, 17.714, -152.0, -7.8, 663.4, 18.686, -18.710, 7.803
236, 0, 14.615, 0.98, 1, 17.706, 14.361, -153.3, -15.8, 657.3, 14.442, -16.867, 5.530
237, 0, 14.665, 0.98, 1, 15.984, 10.077, -155.4, -55.6, 639.6, 6.789, -14.301, 0.260
238, 0, 14.831, 0.98, 1, 16.006, 7.229, -154.9, -60.9, 637.0, 3.290, -14.388, -0.919
