frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
20, 0, 0.634, 0.98, 1, 1.579, 36.914, 595.4, -115.5, 1448.0, 26.895, -2.768, 5.175,0,2.484848484848478,1.071613561429536,2.880041555324666,1.8084279938951302
21, 0, 0.667, 0.98, 1, 1.601, 37.211, 594.2, -115.1, 1446.3, 26.961, -2.686, 5.259,-1.3823529411763869,0,1.7030425272613887,2.9476132917021087,1.24457076444072
22, 0, 0.701, 0.98, 1, 1.312, 37.078, 594.9, -115.2, 1447.0, 26.914, -2.711, 5.242,0,1.4848484848484815,12.42114069992849,25.76159625862606,13.34045555869757
23, 0, 0.734, 0.98, 1, 1.561, 36.529, 594.8, -115.2, 1447.4, 26.981, -2.662, 5.225,0,0,11.972057305429862,25.705215942585994,13.733158637156132
24, 0, 0.767, 0.98, 1, 1.545, 34.261, 597.6, -116.1, 1454.2, 27.212, -3.075, 5.079,0,1.6470588235294117,11.972057305429862,25.705215942585994,13.733158637156132
25, 0, 0.801, 0.98, 1, 1.351, 34.285, 596.4, -115.9, 1451.3, 27.273, -3.019, 5.140,-2.696969696969662,0.7575757575757568,11.972057305429862,26.440308506052265,14.468251200622403
26, 0, 0.834, 0.98, 1, 0.608, 34.297, 596.7, -116.0, 1452.1, 27.184, -2.994, 5.126,0,0,13.179356821862253,26.833050543179322,13.653693721317069
27, 0, 0.868, 0.98, 1, 0.816, 33.487, 596.9, -116.2, 1452.6, 27.312, -3.111, 5.030,-0.09090909090909427,0,12.536961388022966,26.833050543179322,14.296089155156356
28, 0, 0.901, 0.98, 1, 0.482, 33.048, 596.7, -116.2, 1452.4, 27.309, -3.254, 5.048,-2.090909090909168,4.545454545454539,12.588273078906854,26.833050543179322,14.244777464272468
29, 0, 0.934, 0.98, 1, 1.280, 33.582, 596.2, -116.2, 1451.5, 27.240, -3.104, 5.009,0,3.9705882352941337,13.221531389883495,26.567428187717397,13.345896797833902
30, 0, 0.968, 0.98, 1, 1.430, 33.879, 597.0, -116.5, 1452.3, 27.254, -2.969, 4.986,-3.3030303030303645,0,13.221531389883495,28.494901489467214,15.273370099583719
31, 0, 1.001, 0.98, 1, 0.013, 32.794, 596.5, -116.1, 1452.1, 27.145, -3.076, 5.130,-11.272727272727222,16.545454545454483,13.633412530463376,28.494901489467214,14.861488959003838
32, 0, 1.034, 0.98, 1, 0.889, 36.165, 594.3, -115.6, 1446.7, 26.773, -2.530, 5.134,-1.7352941176470882,1.6764705882352908,6.415787678257465,5.724830008165983,0
33, 0, 1.068, 0.98, 1, 1.022, 36.273, 594.0, -115.6, 1445.7, 26.714, -2.473, 5.157,0,0,6.663193396337924,5.847933884297542,0
