frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
54, 0, 3.884, 0.98, 1, 37.899, 25.572, -745.4, -492.3, 1628.0, 25.756, -37.455, 19.148,-138.93617021276552,176.7234042553185,44408.531863431686,6613.131257155115,0
55, 0, 3.931, 0.93, 1, 43.332, 30.678, -720.4, -476.2, 1586.8, 34.062, -43.985, 23.679,-81.18000000000023,23.64000000000013,45146.32268479229,4983.857414358955,0
56, 0, 3.981, 0.93, 1, 46.271, 31.455, -723.9, -483.0, 1604.5, 35.244, -48.044, 25.083,-31.857142857142613,16.489795918367218,45207.34162591476,5164.226660720908,0
57, 0, 4.030, 0.98, 1, 47.399, 31.762, -727.0, -488.4, 1618.1, 36.052, -49.605, 26.294,-0.19607843137264874,0,45717.16856915992,5295.789067053101,0
58, 0, 4.081, 0.93, 1, 47.316, 30.801, -714.9, -484.8, 1602.0, 34.996, -49.615, 27.517,-24.914893617021416,44.48936170212796,45720.92646827348,5295.789067053101,0
59, 0, 4.128, 0.93, 1, 48.197, 31.872, -707.4, -481.3, 1593.6, 37.087, -50.786, 30.103,0,14.119999999999969,46123.04636485864,5482.190781329904,0
60, 0, 4.178, 0.88, 1, 48.209, 32.183, -706.8, -482.8, 1603.7, 37.793, -50.493, 32.035,-3.0212765957446126,22.80851063829807,46123.04636485864,5420.296204119287,0
61, 0, 4.225, 0.88, 1, 48.327, 32.697, -713.7, -488.6, 1625.3, 38.865, -50.635, 33.506,-6.510204081632656,41.77551020408125,46178.220802879696,5538.703309525615,0
62, 0, 4.274, 0.88, 1, 48.943, 33.885, -715.5, -490.1, 1634.8, 40.912, -50.954, 35.532,-29.586956521738898,28.847826086956317,46293.8966996064,62668.78057248454,2000
63, 0, 4.320, 0.88, 1, 49.879, 34.295, -718.4, -493.7, 1646.8, 42.239, -52.315, 36.871,-686.9090909090974,244.56818181818414,46731.87936292302,63148.399678367365,2000
64, 0, 4.364, 0.98, 1, 63.332, 25.729, -657.1, -439.5, 1506.2, 53.000, -82.539, 69.995,0,36.62328767123291,1262.8764938271659,61892.115202945526,2000
65, 0, 4.656, 0.98, 1, 63.800, 28.599, -668.8, -450.5, 1537.5, 63.694, -81.470, 75.922,-112.37777777777801,0,1262.8764938271659,62435.74737407418,2000
66, 0, 4.701, 0.98, 1, 63.701, 18.587, -610.9, -411.9, 1413.1, 4.757, -86.527, 29.258,0,0,322.62399999999155,62078.98732169141,2000
67, 0, 4.739, 0.98, 1, 63.725, 16.709, -590.0, -397.6, 1367.2, -2.859, -85.520, 24.951,0,0,376.511235873935,61954.897587420244,2000
68, 0, 4.782, 0.98, 1, 63.408, 14.435, -581.7, -391.3, 1349.7, -9.336, -84.250, 20.521,0,0,645.2495185647902,61061.7099332326,2000
