frame, face_id, timestamp, confidence, success, gaze_angle_x, gaze_angle_y, face_x, face_y, face_z, up/down, turn, tilt,fvangleX,fvangleY,var_fvangleX,var_fvangleY,var_fvangle
63,0,2.069,0.98,1,2.1,33.344,594.1,-116,1448.7,27.211,-2.881,4.858,0,0.727272727,31.53141644,2.22131123,0
64,0,2.102,0.98,1,1.974,33.299,593.9,-115.9,1448.7,27.235,-2.781,4.868,-6,0,31.53141644,2.343704503,0
65,0,2.135,0.98,1,3.132,33.865,593.2,-115.7,1447.7,26.81,-2.979,5.088,0,0,31.60805568,2.343704503,0
66,0,2.169,0.98,1,3.713,34.457,593,-115.8,1446.9,26.751,-2.579,4.93,-17.93939394,2.303030303,29.12100991,2.343704503,0
67,0,2.202,0.98,1,2.341,33.417,593.1,-115.6,1447.3,26.827,-3.171,5.085,0,3.147058824,9.6129405,5.785059227,0
68,0,2.236,0.98,1,2.382,33.159,594.2,-115.8,1449.3,26.934,-2.916,4.807,-7.96969697,0,9.6129405,5.620093706,0
69,0,2.269,0.98,1,1.873,33.391,593.9,-115.6,1448.4,26.692,-3.179,4.893,-5.727272727,0,7.434494503,5.620093706,0
70,0,2.302,0.98,1,2.636,32.831,594.2,-115.8,1448.6,26.627,-3.368,4.919,-5.029411765,3.941176471,7.894496183,5.620093706,0
71,0,2.336,0.98,1,1.369,32.777,593.7,-115.6,1447.6,26.761,-3.539,4.985,0,1.454545455,7.5396283,4.796816651,0
72,0,2.369,0.98,1,2.172,33.009,592.9,-115.6,1446,26.809,-3.538,4.929,-2.03030303,0,7.3889249,5.578173154,0
73,0,2.402,0.98,1,1.158,33.196,592.6,-115.5,1444.8,26.763,-3.605,4.975,0,0,10.19121818,5.578173154,0
74,0,2.436,0.98,1,2.077,33.289,591.4,-115,1441.9,26.737,-3.524,4.972,-6.212121212,0,10.15780503,5.578173154,0
75,0,2.469,0.98,1,1.761,32.936,591.8,-115.2,1442.9,26.512,-3.729,5.11,-4.823529412,0,14.33921618,5.578173154,0
76,0,2.503,0.98,1,1.944,32.954,592.1,-115.2,1443.2,26.445,-3.893,5.138,0,6.96969697,14.57136465,5.723238784,0
77,0,2.536,0.98,1,1.91,33.359,592,-115.4,1443.3,26.675,-3.801,4.954,0,0.151515152,13.91842348,2.265032238,0
78,0,2.569,0.98,1,2.032,33.267,591.8,-115.3,1443.5,26.68,-3.773,4.986,-0.088235294,0,13.91842348,2.292649468,0
79,0,2.603,0.98,1,1.528,33.211,591.7,-115.2,1443,26.537,-3.776,5.055,-6.303030303,0,13.5797636,2.292649468,0
80,0,2.636,0.98,1,1.689,33.05,591.1,-115.2,1441.9,26.431,-3.984,5.073,0,1.787878788,12.43762805,2.811966048,0
81,0,2.669,0.98,1,2.296,32.516,591.6,-115.2,1443,26.49,-3.796,4.984,-0.382352941,3.823529412,20.7522466,2.912142501,0
82,0,2.703,0.98,1,2.485,32.76,591.5,-115.3,1443.1,26.62,-3.809,4.963,-7.272727273,0,21.0049638,5.836414581,0
83,0,2.736,0.98,1,2.817,32.578,591.1,-115.2,1441.9,26.41,-4.049,5.045,-0.060606061,0,19.50762846,5.836414581,0
84,0,2.769,0.98,1,2.047,32.661,590.6,-115.1,1440,26.363,-4.051,5.137,-9.764705882,0,19.48837232,5.836414581,0
85,0,2.803,0.98,1,3.295,32.674,590.1,-115.1,1439.1,26.191,-4.383,5.302,0,3.272727273,14.20723103,5.638395771,0
86,0,2.836,0.98,1,2.835,32.804,589.8,-115.3,1438,26.299,-4.318,5.311,-1.941176471,0,13.94955392,5.39493442,0
87,0,2.87,0.98,1,1.984,32.857,589.8,-115,1438.4,26.254,-4.384,5.379,0,0,14.3650864,5.245624926,0
88,0,2.903,0.98,1,1.719,32.943,589.8,-115.2,1437.8,26.202,-4.208,5.324,-0.787878788,0,14.3650864,7.230410789,0
89,0,2.936,0.98,1,2.944,32.895,589.6,-115.1,1437.5,26.072,-4.234,5.425,0,3.470588235,14.61081283,9.397944714,0
90,0,2.97,0.98,1,3.273,32.825,589.9,-115.1,1438,26.19,-4.173,5.439,-11.63636364,0,14.41141421,9.890109732,0
91,0,3.003,0.98,1,1.663,31.638,591.3,-115.2,1441.3,26.045,-4.557,5.636,0,6.96969697,3.262030894,9.890109732,6.628078838
92,0,3.036,0.98,1,1.154,32.049,591.5,-115.3,1441.5,26.275,-4.35,5.551,-5.147058824,0,67.50244334,7.360229828,0
93,0,3.07,0.98,1,1.177,31.734,591.8,-115.2,1442.3,26.267,-4.525,5.538,-0.090909091,0,68.34107038,7.360229828,0
94,0,3.103,0.98,1,1.469,32.216,590.2,-115.1,1438.4,26.166,-4.528,5.598,0,0.939393939,68.40166384,7.360229828,0
95,0,3.136,0.98,1,2.279,32.79,590.6,-115,1439.1,26.197,-4.467,5.522,-0.705882353,0,70.87955025,33.63739242,0
96,0,3.17,0.98,1,1.854,32.228,590.6,-114.9,1438.8,26.037,-4.491,5.567,0,0.939393939,70.922691,32.46826487,0
